timestamp,value,label,missing
1493229540,-1.1794678,0,0
1493229600,-1.1715971,0,0
1493229660,-0.90924764,0,0
1493229720,-0.9958229,0,0
1493229780,-0.5786872,0,0
1493229840,-0.6075458,0,0
1493229900,-0.94859993,0,0
1493229960,-0.04087101,0,0
1493230020,-1.0666574,0,0
1493230080,-0.33207908,0,0
1493230140,-0.70986193,0,0
1493230200,-0.06972961,0,0
1493230260,-0.96958786,0,0
1493230320,-0.3845482,0,0
1493230380,-1.0063167,0,0
1493230440,-0.90137696,0,0
1493230500,-1.0246816,0,0
1493230560,-0.9800821,0,0
1493230620,-1.145362,0,0
1493230680,-0.40815967,0,0
1493230740,-1.071904,0,0
1493230800,-1.119127,0,0
1493230860,-0.99319935,0,0
1493230920,-0.82004875,0,0
1493230980,-1.0928919,0,0
1493231040,-0.5026056,0,0
1493231100,-0.30059642,0,0
1493231160,-0.23238601,0,0
1493231220,-0.4816182,0,0
1493231280,-0.7544614,0,0
1493231340,-0.025129681,0,0
1493231400,-0.3845482,0,0
1493231460,-0.56556994,0,0
1493231520,-0.9958229,0,0
1493231580,-0.4580067,0,0
1493231640,-0.10645837,0,0
1493231700,-0.49998257,0,0
1493231760,-0.5052297,0,0
1493231820,-0.76757866,0,0
1493231880,-0.48424125,0,0
1493231940,-0.90137696,0,0
1493232000,-0.6967447,0,0
1493232060,-0.9040005,0,0
1493232120,-0.3950424,0,0
1493232180,-1.1348683,0,0
1493232240,-1.1584793,0,0
1493232300,-0.5472051,0,0
1493232360,-0.4002895,0,0
1493232420,-0.71510905,0,0
1493232480,-0.28223205,0,0
1493232540,-0.4527596,0,0
1493232600,-0.40291357,0,0
1493232660,-0.8069315,0,0
1493232720,-0.23763311,0,0
1493232780,-1.098139,0,0
1493232840,-0.5026056,0,0
1493232900,-0.88038903,0,0
1493232960,-0.10383432,0,0
1493233020,-1.022058,0,0
1493233080,-0.71510905,0,0
1493233140,-1.0299281,0,0
1493233200,-0.59442806,0,0
1493233260,-0.7990608,0,0
1493233320,-0.7990608,0,0
1493233380,-0.7938137,0,0
1493233440,-0.7649551,0,0
1493233500,-1.3132656,0,0
1493233560,-0.64165103,0,0
1493233620,-0.8908832,0,0
1493233680,-0.77544934,0,0
1493233740,-0.927612,0,0
1493233800,-0.85940105,0,0
1493233860,-0.54195845,0,0
1493233920,-1.2844074,0,0
1493233980,-0.4816182,0,0
1493234040,-1.0823982,0,0
1493234100,-0.8672717,0,0
1493234160,-0.4685009,0,0
1493234220,-0.7308499,0,0
1493234280,-0.6652625,0,0
1493234340,-1.4208288,0,0
1493234400,-0.6206631,0,0
1493234460,-0.5603228,0,0
1493234520,-0.7702022,0,0
1493234580,0.03783363,0,0
